ticker,date,time,open,low,high,close
EURCHF,20010103,00:00:00,1.5201,1.5110,1.5235,1.5126
EURCHF,20010104,00:00:00,1.5128,1.5055,1.5248,1.5239
EURCHF,20010105,00:00:00,1.5239,1.5235,1.5326,1.5302
EURCHF,20010108,00:00:00,1.5312,1.5233,1.5322,1.5238
EURCHF,20010109,00:00:00,1.5236,1.5206,1.5247,1.5230
EURCHF,20010110,00:00:00,1.5231,1.5218,1.5293,1.5260
EURCHF,20010111,00:00:00,1.5261,1.5249,1.5365,1.5353
EURCHF,20010112,00:00:00,1.5352,1.5339,1.5430,1.5393
EURCHF,20010115,00:00:00,1.5398,1.5377,1.5463,1.5416
EURCHF,20010116,00:00:00,1.5415,1.5357,1.5426,1.5384
EURCHF,20010117,00:00:00,1.5385,1.5348,1.5407,1.5376
EURCHF,20010118,00:00:00,1.5376,1.5254,1.5399,1.5276
EURCHF,20010119,00:00:00,1.5276,1.5252,1.5310,1.5296
EURCHF,20010122,00:00:00,1.5302,1.5284,1.5348,1.5308
EURCHF,20010123,00:00:00,1.5308,1.5306,1.5349,1.5322
EURCHF,20010124,00:00:00,1.5321,1.5284,1.5331,1.5293
EURCHF,20010125,00:00:00,1.5293,1.5221,1.5295,1.5272
EURCHF,20010126,00:00:00,1.5272,1.5234,1.5316,1.5263
EURCHF,20010129,00:00:00,1.5270,1.5189,1.5284,1.5197
EURCHF,20010130,00:00:00,1.5195,1.5177,1.5261,1.5246
EURCHF,20010131,00:00:00,1.5247,1.5239,1.5318,1.5312
EURCHF,20010201,00:00:00,1.5312,1.5303,1.5351,1.5310
EURCHF,20010202,00:00:00,1.5309,1.5305,1.5393,1.5386
EURCHF,20010205,00:00:00,1.5378,1.5363,1.5413,1.5370
EURCHF,20010206,00:00:00,1.5370,1.5357,1.5406,1.5395
EURCHF,20010207,00:00:00,1.5395,1.5354,1.5406,1.5361
EURCHF,20010208,00:00:00,1.5362,1.5307,1.5374,1.5343
EURCHF,20010209,00:00:00,1.5342,1.5316,1.5363,1.5359
EURCHF,20010212,00:00:00,1.5352,1.5333,1.5407,1.5398
EURCHF,20010213,00:00:00,1.5399,1.5343,1.5408,1.5360
EURCHF,20010214,00:00:00,1.5360,1.5320,1.5365,1.5333
EURCHF,20010215,00:00:00,1.5332,1.5297,1.5344,1.5318
EURCHF,20010216,00:00:00,1.5318,1.5306,1.5391,1.5341
EURCHF,20010219,00:00:00,1.5345,1.5329,1.5386,1.5373
EURCHF,20010220,00:00:00,1.5373,1.5332,1.5382,1.5347
EURCHF,20010221,00:00:00,1.5347,1.5313,1.5387,1.5329
EURCHF,20010222,00:00:00,1.5328,1.5268,1.5337,1.5308
EURCHF,20010223,00:00:00,1.5307,1.5305,1.5363,1.5355
EURCHF,20010226,00:00:00,1.5357,1.5329,1.5368,1.5364
EURCHF,20010227,00:00:00,1.5363,1.5351,1.5400,1.5378
EURCHF,20010228,00:00:00,1.5378,1.5368,1.5424,1.5411
EURCHF,20010301,00:00:00,1.5412,1.5347,1.5429,1.5363
EURCHF,20010302,00:00:00,1.5363,1.5340,1.5401,1.5392
EURCHF,20010305,00:00:00,1.5371,1.5336,1.5397,1.5341
EURCHF,20010306,00:00:00,1.5340,1.5338,1.5405,1.5395
EURCHF,20010307,00:00:00,1.5395,1.5365,1.5410,1.5397
EURCHF,20010308,00:00:00,1.5396,1.5375,1.5422,1.5396
EURCHF,20010309,00:00:00,1.5395,1.5391,1.5443,1.5406
EURCHF,20010312,00:00:00,1.5410,1.5376,1.5427,1.5391
EURCHF,20010313,00:00:00,1.5391,1.5363,1.5414,1.5397
EURCHF,20010314,00:00:00,1.5396,1.5338,1.5407,1.5380
EURCHF,20010315,00:00:00,1.5380,1.5364,1.5405,1.5380
EURCHF,20010316,00:00:00,1.5380,1.5308,1.5388,1.5329
EURCHF,20010319,00:00:00,1.5338,1.5313,1.5359,1.5335
EURCHF,20010320,00:00:00,1.5335,1.5309,1.5379,1.5364
EURCHF,20010321,00:00:00,1.5364,1.5317,1.5372,1.5324
EURCHF,20010322,00:00:00,1.5324,1.5267,1.5340,1.5324
EURCHF,20010323,00:00:00,1.5324,1.5299,1.5335,1.5311
EURCHF,20010326,00:00:00,1.5320,1.5290,1.5365,1.5359
EURCHF,20010327,00:00:00,1.5359,1.5315,1.5374,1.5342
EURCHF,20010328,00:00:00,1.5342,1.5292,1.5345,1.5299
EURCHF,20010329,00:00:00,1.5299,1.5240,1.5327,1.5253
